National Banks Active As of 4/30/2025,,,,,,,
,,,,,,,
,,,,,,,
CHARTER NO,NAME,ADDRESS (LOC),CITY,STATE,CERT,RSSD,
12267,The Old Point National Bank of Phoebus,1 West Mellen Street,Hampton,VA,6892,186221,
9179,The Park National Bank,50 North Third Street,Newark,OH,6653,489623,
7892,The Pauls Valley National Bank,101 W. Paul Avenue,Pauls Valley,OK,4173,454658,
15733,The Pennsville National Bank,170 South Broadway,Pennsville,NJ,19978,828110,
10051,The Peoples National Bank of Checotah,300 West Gentry,Checotah,OK,4059,942454,
11595,The Perryton National Bank,825 South Main Street,Perryton,TX,3388,8462,
5658,The Peshtigo National Bank,250 French Street,Peshtigo,WI,5317,257345,
25302,The Preferred Legacy National Trust Bank,4840 Higbee Avenue NW,Canton,OH,59357,5887420,
22926,"The Private Trust Company, National Association",1422 Euclid Avenue,Cleveland,OH,34057,2328285,
976,The Putnam County National Bank of Carmel,43 Gleneida Avenue,Carmel,NY,6990,287007,
5267,The Riddell National Bank,1 East National Avenue,Brazil,IN,4318,319047,
8905,The Salyersville National Bank,Main Street,Salyersville,KY,2723,472018,
13854,The Santa Anna National Bank,610 Wallis Avenue,Santa Anna,TX,5520,521064,
14315,The Security National Bank of Enid,201 West Broadway,Enid,OK,14966,119153,
3124,"The Security National Bank of Sioux City, Iowa",601 Pierce Street,Sioux City,IA,4506,418249,
12543,The State National Bank of Big Spring,901 Main Street,Big Spring,TX,3103,169354,
4137,The Stephenson National Bank and Trust,1820 Hall Avenue,Marinette,WI,5306,598048,
24092,"The Tipton Latham Bank, National Association",800 West Highway 50,Tipton,MO,1941,984856,
22281,"The Trust Company of Toledo, National Association",1630 Timberwolf Drive,Holland,OH,33239,1820979,
9803,The Turbotville National Bank,"Route 54, P.O. Box 37",Turbotville,PA,7789,906410,
12018,The Upstate National Bank,729 Proctor Avenue,Ogdensburg,NY,13748,313009,
2036,The Vinton County National Bank,203 West Main Street,McArthur,OH,6636,754826,
5203,The Waggoner National Bank of Vernon,1818 Texas Street,Vernon,TX,5569,548267,
8694,The Yoakum National Bank,301 W. Grand Avenue,Yoakum,TX,5595,311265,
22883,Thomasville National Bank,301 North Broad Street,Thomasville,GA,34068,2344753,
25288,"TIAA Trust, National Association",8500 Andrew Carnegie Boulevard,Charlotte,NC,59344,5859511,
25143,TIB National Association,11701 Luna Road,Farmers Branch,TX,23647,529958,
25239,"Tioga State Bank, National Association",1 North Main Street,Spencer,NY,9410,910118,
12437,"Titan Bank, National Association",1701 East Hubbard Street,Mineral Wells,TX,3225,328357,
24789,Touchmark National Bank,3651 Old Milton Parkway,Alpharetta,GA,58687,3645840,
25201,"Town Bank, National Association",850 West North Shore Drive,Hartland,WI,34717,2693264,
8004,"Transact Bank, National Association",700 17th Street,Denver,CO,13986,403254,
15738,Tri City National Bank,6400 South 27th Street,Oak Creek,WI,18922,242444,
17926,"Triad Bank, National Association",7646 East 61st Street,Tulsa,OK,24677,283652,
24397,"Trinity Bank, National Association",3500 W Vickery Boulevard,Fort Worth,TX,57543,3185896,
10523,Trustmark National Bank,248 East Capitol Street,Jackson,MS,4988,342634,
24,U.S. Bank National Association,425 Walnut Street,Cincinnati,OH,6548,504713,
23412,"U.S. Bank Trust Company, National Association",111 Southwest Fifth Avenue,Portland,OR,34588,2567123,
24090,U.S. Bank Trust National Association,1011 Centre Road,Wilmington,DE,57047,2916963,
23604,U.S. Bank Trust National Association SD,141 North Main Avenue,Sioux Falls,SD,34813,2667920,
22874,"UMB Bank & Trust, National Association",2 South Broadway,St. Louis,MO,34065,2337335,
23920,"UMB Bank, National Association",1010 Grand Avenue,Kansas City,MO,8273,936855,
7236,Union National Bank,One Fountain Square Plaza,Elgin,IL,3661,963730,
25160,"United Midwest Savings Bank, National Association",101 South Main Street,Degraff,OH,32441,809276,
23981,United National Bank,722 North Broad Street,Cairo,GA,35427,2914727,
21008,Unity National Bank of Houston,2602 Blodgett Street,Houston,TX,26351,853251,
15790,Valley National Bank,615 Main Avenue,Passaic,NJ,9396,229801,
24121,"Vanguard National Trust Company, National Association",Vanguard Boulevard,Malvern,PA,57304,3045383,
25147,"Varo Bank, National Association","11781 South Lone Peak Way, Suite 100",Draper,UT,59190,5518023,
17174,"Vast Bank, National Association",110 N. Elgin Avenue,Tulsa,OK,23737,347956,
13443,"VeraBank, National Association",201 West Main Street,Henderson,TX,3250,56351,
23457,VersaBank USA National Association,Main Street,Holdingford,MN,10160,1011656,
25210,"Viking Bank, National Association",4277 Dakota Street,Alexandria,MN,32082,484776,
25202,"Village Bank & Trust, National Association",234 West Northwest Highway,Arlington Heights,IL,34011,2298995,
23616,Virginia National Bank,222 East Main Street,Charlottesville,VA,34755,2708122,
11822,Vista National Bank & Trust.,197 Main Street,Harveyville,KS,4683,931458,
24685,"Waterford Bank, National Association",3900 North Mccord Road,Toledo,OH,58433,3588424,
24469,"Webster Bank, National Association",1959 Summer Street,Stamford,CT,18221,761806,
17202,"Wellington Trust Company, National Association",280 Congress Street,Boston,MA,23741,692704,
11668,"Wells Fargo Bank South Central, National Association",2005 Taylor Street,Houston,TX,5146,2362458,
1,"Wells Fargo Bank, National Association",101 North Philips Avenue,Sioux Falls,SD,3511,451965,
23201,"Wells Fargo Delaware Trust Company, National Association","2200 Concord Pike, 5th Floor",Wilmington,DE,34465,2531991,
21099,Wells Fargo National Bank West,4455 Spring Mountain Road,Las Vegas,NV,27389,1225761,
2597,"Wells Fargo Trust Company, National Association",2389 Washington Boulevard,Ogden,UT,13718,688079,
24185,West Texas National Bank,"#6 Desta Drive, Suite 2400",Midland,TX,22957,237066,
24683,West Valley National Bank,2440 North Litchfield Road,Goodyear,AZ,58426,3480069,
25281,"Western Alliance Trust Company, National Association","1 East Washington Street, Suite 1400",Phoenix,AZ,57288,5805451,
6352,Western National Bank,"210 2nd Street, NW",Cass Lake,MN,5110,278751,
13116,Western National Bank,201 North Central Avenue,Duluth,MN,5131,127055,
10971,Western National Bank,523 Thayer Avenue,Chester,NE,4778,199351,
25203,"Wheaton Bank & Trust Company, National Association",100 North Wheaton Avenue,Wheaton,IL,33803,2044811,
23918,"Wheaton College Trust Company, National Association",501 College Avenue,Wheaton,IL,57150,2960788,
22859,"Wilmington Trust, National Association","Rodney Square North, 1100 North Market Street",Wilmington,DE,34069,2265456,
25142,Winter Park National Bank,201 North New York Avenue,Winter Park,FL,59105,5143788,
25196,"Wintrust Bank, National Association",231 South LaSalle Street,Chicago,IL,33935,2239288,
23690,"Wintrust Private Trust Company, National Association",727 North Bank Lane,Lake Forest,IL,35063,2719810,
10865,"WNB Financial, National Association",204 Main Street,Winona,MN,5280,220059,
16892,Woodforest National Bank,1330 Lake Robbins Drive,The Woodlands,TX,23220,412751,
23926,Woodlands National Bank,122 Main Street,Hinckley,MN,1417,980951,
14955,Zapata National Bank,703 Hidalgo Blvd,Zapata,TX,18454,218261,
4341,"Zions Bancorporation, National Association",One South Main Street,Salt Lake City,UT,2270,276579,
,,,,,,,
,,,,,,,
747,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
